Claim,Source,Truth,Sentence_len,Type,Word_avg_len,NN_ratio,NNS_ratio,NNP_ratio,NNPS_ratio,PRP_ratio,PRP$_ratio,WP_ratio,WP$_ratio,Noun_ratio,VB_ratio,VBD_ratio,VBG_ratio,VBN_ratio,VBP_ratio,VBZ_ratio,Verb_ratio,JJ_ratio,JJR_ratio,JJS_ratio,Adj_ratio,RB_ratio,RBR_ratio,RBS_ratio,WRB_ratio,Adv_ratio,CC_ratio,CD_ratio,DT_ratio,EX_ratio,FW_ratio,IN_ratio,LS_ratio,MD_ratio,PDT_ratio,POS_ratio,RP_ratio,SYM_ratio,TO_ratio,UH_ratio,WDT_ratio,Function_ratio,Content_ratio
Assessing Risk Factors for Severe COVID-19 Illness,CoAID,TRUE,7,7,6.285714286,0,14.28571429,57.14285714,0,0,0,0,0,71.42857143,0,0,14.28571429,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,14.28571429,85.71428572
Privacy Concerns Hindering Digital Contact Tracing,CoAID,TRUE,6,6,7.5,16.66666667,0,83.33333333,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
The Workplace-Surveillance Technology Boom,ReCOVery,TRUE,4,4,9.75,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,75
COVID-19: Study Reports 'Staggering' Death Rate in U.S. Among Those Infected Who Show Symptoms,CoAID,TRUE,14,14,5.785714286,7.142857143,0,57.14285714,0,0,0,0,0,64.28571428,0,0,7.142857143,7.142857143,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,7.142857143,0,0,14.28571429,0,0,0,0,0,0,0,0,0,21.42857143,78.57142857
"Headache and fever: Causes, treatment, and prevention",CoAID,TRUE,7,6,7,42.85714286,14.28571429,14.28571429,0,0,0,0,0,71.42857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,71.42857144
Racial inequalities in health: What MNT's experts want you to,CoAID,TRUE,10,10,5.2,10,20,10,0,10,0,10,0,60,0,0,0,0,10,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,10,0,0,30,80
Getting Non-Coronavirus Care a Complicated Effort,CoAID,TRUE,6,6,7.333333333,0,0,66.66666667,0,0,0,0,0,66.66666667,0,0,16.66666667,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,83.33333334
What Medications to Get to Prep for a Coronavirus Infection,CoAID,TRUE,10,9,5,10,0,20,10,0,0,10,0,50,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,20,0,0,40,60
Impact of COVID-19 on people's livelihoods their health and our food systems,CoAID,TRUE,12,12,5.416666667,25,25,8.333333333,0,0,16.66666667,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,16.66666667,0,0,0,8.333333333,0,0,0,0,0,33.33333334,75
Secret Service investigating a crime ring inundating unemployment offices with fake claims,ReCOVery,TRUE,12,12,6.583333333,16.66666667,16.66666667,16.66666667,0,0,0,0,0,50.00000001,0,0,25,0,0,0,25,8.333333333,0,0,8.333333333,0,0,0,0,0,0,0,8.333333333,0,0,8.333333333,0,0,0,0,0,0,0,0,0,16.66666667,83.33333334
Silent COVID-19 Cases May Stymie Screening Efforts,CoAID,TRUE,7,7,6.285714286,0,14.28571429,71.42857143,0,0,0,0,0,85.71428572,0,0,0,0,0,0,0,14.28571429,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Cleveland Clinic Offers Free COVID-19 Online Screening Tool,CoAID,TRUE,8,8,6.5,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
CDC Extends No Sail Order for Cruise Ships,CoAID,TRUE,8,8,4.375,0,0,62.5,0,0,0,0,0,62.5,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,25,75
"Coronavirus vaccine update: Nod to human trial marks 'beginning of the end', says govt",COVID Fake News Dataset,TRUE,14,14,5.357142857,42.85714286,7.142857143,7.142857143,0,0,0,0,0,57.14285715,0,0,7.142857143,0,0,7.142857143,14.28571429,7.142857143,0,0,7.142857143,0,0,0,0,0,0,0,7.142857143,0,0,7.142857143,0,0,0,0,0,0,7.142857143,0,0,21.42857143,78.57142858
"Doctor With COVID-19 Recovering After Treatment, Lot of Luck",CoAID,TRUE,9,9,6,11.11111111,0,55.55555556,0,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,33.33333333,66.66666667
Social Media Toolkit: Daily Life & Going Out,CoAID,TRUE,8,8,4.625,0,0,50,0,0,0,0,0,50,0,0,12.5,0,0,0,12.5,12.5,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,25,75
Why Rushing a COVID-19 Vaccine by November Could Be Dangerous,CoAID,TRUE,10,10,5.2,10,0,40,0,0,0,0,0,50,0,0,10,0,0,0,10,10,0,0,10,0,0,0,10,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,20,80
Contact Tracing : Part of a Multipronged Approach to Fight the COVID-19 Pandemic,CoAID,TRUE,13,13,5.230769231,15.38461538,0,30.76923077,0,0,0,0,0,46.15384615,7.692307692,0,0,0,0,0,7.692307692,7.692307692,0,0,7.692307692,0,0,0,0,0,0,0,15.38461538,0,0,7.692307692,0,0,0,0,0,0,7.692307692,0,0,30.76923076,61.53846153
"As Cases Surge, No Clear Answers on School Reopening",CoAID,TRUE,9,9,5.111111111,0,0,77.77777778,0,0,0,0,0,77.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,0,0,0,0,22.22222222,77.77777778
Sharks Could Be Harvested for COVID-19 Vaccine,CoAID,TRUE,7,7,5.714285714,0,14.28571429,28.57142857,0,0,0,0,0,42.85714286,14.28571429,0,0,14.28571429,0,0,28.57142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,14.28571429,0,0,0,0,0,0,0,28.57142858,71.42857144
"States, U.S. Hit Set New Records for COVID Cases",CoAID,TRUE,9,9,4.666666667,0,11.11111111,77.77777778,0,0,0,0,0,88.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,0,0,0,0,11.11111111,88.88888889
COVID Spreads Quickly in Crowded Homes,CoAID,TRUE,6,6,5.5,0,0,83.33333333,0,0,0,0,0,83.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,16.66666667,83.33333333
"COVID-19 Daily: Ventilator Protocols Questioned, Physician Rights",CoAID,TRUE,7,7,8.714285714,14.28571429,0,42.85714286,14.28571429,0,0,0,0,71.42857144,0,0,0,0,0,0,0,28.57142857,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Domestic Animals Link Virus Spread Among Humans and Wildlife,CoAID,TRUE,9,9,5.777777778,0,11.11111111,33.33333333,11.11111111,0,0,0,0,55.55555555,0,0,0,0,11.11111111,0,11.11111111,11.11111111,0,0,11.11111111,0,0,0,0,0,11.11111111,0,0,0,0,11.11111111,0,0,0,0,0,0,0,0,0,22.22222222,77.77777777
How Pooled Testing Can Help Us Fight Spread of COVID-19,CoAID,TRUE,10,10,4.6,10,0,40,0,0,0,0,0,50,10,0,0,0,0,0,10,10,0,0,10,0,0,0,10,10,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,20,80
Bravery and Hope: 7 Days on the Front Line takes viewers inside NYC hospital amid COVID-19 pandemic,ReCOVery,TRUE,17,17,4.882352941,11.76470588,11.76470588,35.29411765,0,0,0,0,0,58.82352941,0,0,0,0,0,5.882352941,5.882352941,0,0,0,0,0,0,0,0,0,5.882352941,5.882352941,5.882352941,0,0,17.64705882,0,0,0,0,0,0,0,0,0,35.29411764,64.70588235
Care for Breastfeeding Women,CoAID,TRUE,4,4,6.25,25,0,50,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,75
The Riddle of Solitude in the Age of the Coronavirus,ReCOVery,TRUE,10,8,4.3,0,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,60,40
ICU Lessons on COVID-19 From Italian Front Line: Be Flexible,CoAID,TRUE,10,10,5.1,10,0,70,0,0,0,0,0,80,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,90
"Covid cases cross 3K mark, death toll on a new high",COVID Fake News Dataset,TRUE,11,11,3.909090909,27.27272727,9.090909091,9.090909091,0,0,0,0,0,45.45454545,0,0,0,0,9.090909091,0,9.090909091,18.18181818,0,0,18.18181818,0,0,0,0,0,0,9.090909091,9.090909091,0,0,9.090909091,0,0,0,0,0,0,0,0,0,27.27272727,72.72727272
Researchers Identify Multiple Molecules That Shut Down SARS-Cov-2 Polymerase Reaction,CoAID,TRUE,10,10,7.6,0,10,80,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,90
"Coronavirus cleaning: Tips to clean your phone, tablet and more",ReCOVery,TRUE,10,10,5.6,40,10,0,0,0,10,0,0,60,10,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,80
Small Study Analyzes Italy Coronavirus Deaths,CoAID,TRUE,6,6,6.666666667,16.66666667,0,83.33333333,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Apple Maps now shows COVID-19 testing sites,ReCOVery,TRUE,7,7,5.285714286,0,14.28571429,42.85714286,0,0,0,0,0,57.14285715,0,0,14.28571429,0,0,14.28571429,28.57142858,0,0,0,0,14.28571429,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Study Confirms Cats Can Become Infected With and May Transmit COVID-19 to Other Cats,CoAID,TRUE,14,13,5.071428571,7.142857143,7.142857143,35.71428571,0,0,0,0,0,50,7.142857143,0,0,7.142857143,0,0,14.28571429,7.142857143,0,0,7.142857143,0,0,0,0,0,7.142857143,0,0,0,0,7.142857143,0,7.142857143,0,0,0,0,7.142857143,0,0,28.57142857,71.42857143
Why You Should Be Skeptical of Early Results of COVID-19 Drug,CoAID,TRUE,11,10,4.636363636,0,0,45.45454545,0,9.090909091,0,0,0,54.54545454,9.090909091,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,9.090909091,9.090909091,0,0,0,0,0,18.18181818,0,9.090909091,0,0,0,0,0,0,0,27.27272727,72.72727272
Tracking the SARS-CoV-2 Virus With Genome Sequencing,CoAID,TRUE,7,7,6.571428571,0,0,42.85714286,0,0,0,0,0,42.85714286,0,0,28.57142857,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,14.28571429,0,0,0,0,0,0,0,0,0,28.57142858,71.42857143
Wall Street Rallies as Investors Focus on the Recovery,ReCOVery,TRUE,9,9,5.111111111,11.11111111,0,44.44444444,11.11111111,0,0,0,0,66.66666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,22.22222222,0,0,0,0,0,0,0,0,0,33.33333333,66.66666666
Meat and Poultry Processing Facility Assessment Toolkit,CoAID,TRUE,7,7,7,14.28571429,0,71.42857143,0,0,0,0,0,85.71428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,85.71428572
"NOAA sees busy hurricane season, as pandemic strains emergency services",ReCOVery,TRUE,10,10,6.4,30,20,10,0,0,0,0,0,60,0,0,0,0,0,10,10,20,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,90
Dual Personalities Visualized for Shape-Shifting Molecule,CoAID,TRUE,6,6,8.666666667,0,0,66.66666667,0,0,0,0,0,66.66666667,0,0,0,0,0,0,0,16.66666667,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,16.66666667,83.33333334
COMMENTARY: Med Students Aren't Prepared for Virtual Clinical Exams,CoAID,TRUE,9,9,6.555555556,11.11111111,11.11111111,44.44444444,0,0,0,0,0,66.66666666,0,0,0,0,11.11111111,0,11.11111111,11.11111111,0,0,11.11111111,11.11111111,0,0,0,11.11111111,0,0,0,0,0,11.11111111,0,0,0,0,0,0,0,0,0,11.11111111,99.99999999
More Resources about COVID-19,CoAID,TRUE,4,4,6.5,0,25,25,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,75
FDA Publishes Vaccine Rules Opposed by White House,CoAID,TRUE,8,8,5.375,0,0,75,0,0,0,0,0,75,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,87.5
"Coronavirus update: 38-year-old man dies in Patna, death toll in India rises to 6",COVID Fake News Dataset,TRUE,14,13,5,28.57142857,0,14.28571429,0,0,0,0,0,42.85714286,0,0,0,0,0,14.28571429,14.28571429,14.28571429,0,0,14.28571429,0,0,0,0,0,0,7.142857143,0,0,0,14.28571429,0,0,0,0,0,0,7.142857143,0,0,28.57142858,71.42857144
ICYMI: A look back at Sunday's 60 Minutes,ReCOVery,TRUE,8,8,4.25,25,12.5,12.5,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,12.5,12.5,0,0,12.5,0,0,0,12.5,0,0,0,0,0,50,62.5
CDC Chief Walks Back Masks v. Vaccine Comments,CoAID,TRUE,8,8,4.875,12.5,0,87.5,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"On-demand food delivery apps are letting minors order alcohol, regulators say",ReCOVery,TRUE,11,11,6.272727273,45.45454545,18.18181818,0,0,0,0,0,0,63.63636363,0,0,9.090909091,0,18.18181818,0,27.27272727,9.090909091,0,0,9.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99999999
Tough Menopause May Signal Future Heart Woes,CoAID,TRUE,7,7,5.428571429,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"3 clues in coronavirus patients' blood could help doctors predict their risk of death 10 days in advance, with 90% accuracy",ReCOVery,TRUE,21,20,5,33.33333333,19.04761905,0,0,0,4.761904762,0,0,57.14285714,4.761904762,0,0,0,4.761904762,0,9.523809524,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,19.04761905,0,4.761904762,0,4.761904762,0,0,0,0,0,42.85714286,66.66666667
Quibi will add sharing features as the app struggles to find subscribers,ReCOVery,TRUE,12,12,5.083333333,8.333333333,16.66666667,8.333333333,0,0,0,0,0,33.33333334,16.66666667,0,8.333333333,0,0,8.333333333,33.33333334,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,8.333333333,0,8.333333333,0,0,0,0,8.333333333,0,0,33.33333333,66.66666667
How a team of NASA engineers developed a ventilator for COVID-19 patients in just a month,ReCOVery,TRUE,16,14,4.625,18.75,12.5,6.25,0,0,0,0,0,37.5,0,6.25,0,0,0,0,6.25,6.25,0,0,6.25,6.25,0,0,6.25,12.5,0,0,18.75,0,0,18.75,0,0,0,0,0,0,0,0,0,37.5,62.5
The House voted to allow proxy voting in a historic first amid the coronavirus pandemic,ReCOVery,TRUE,15,15,4.866666667,20,0,6.666666667,0,0,0,0,0,26.66666667,6.666666667,6.666666667,0,0,0,0,13.33333333,20,0,0,20,0,0,0,0,0,0,0,20,0,0,13.33333333,0,0,0,0,0,0,6.666666667,0,0,40,60
Overdose Deaths Spiked In Early Days of Pandemic,CoAID,TRUE,8,8,5.125,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,75
"Yes, US shipped donated personal protective equipment to China in February",CoAID,TRUE,11,11,6,9.090909091,0,27.27272727,0,0,0,0,0,36.36363636,0,9.090909091,0,9.090909091,0,0,18.18181818,18.18181818,0,0,18.18181818,0,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,9.090909091,9.090909091,0,27.27272727,72.72727272
Google waives Ad Serving fee for 5 months to support news partners during COVID-19 crisis,COVID Fake News Dataset,TRUE,15,15,5,20,13.33333333,26.66666667,0,0,0,0,0,60,6.666666667,0,0,0,0,6.666666667,13.33333333,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,0,13.33333333,0,0,0,0,0,0,6.666666667,0,0,26.66666666,73.33333333
Andrea Bocelli To Perform In An Empty Duomo Cathedral On Easter Sunday,ReCOVery,TRUE,12,12,4.916666667,0,0,58.33333333,0,0,0,0,0,58.33333333,8.333333333,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,16.66666667,0,0,0,0,0,0,8.333333333,0,0,33.33333334,66.66666666
Coronavirus in Delhi updates: 69-year-old Delhi woman dies,COVID Fake News Dataset,TRUE,8,7,6.375,12.5,25,37.5,0,0,0,0,0,75,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,87.5
COVID-19: 'Digestive symptoms are common',CoAID,TRUE,5,5,7.4,20,20,0,0,0,0,0,0,40,0,0,0,0,20,0,20,20,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80
Radiology Must Adapt to New Pandemic,CoAID,TRUE,6,6,5.166666667,0,0,83.33333333,0,0,0,0,0,83.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,16.66666667,83.33333333
COMMENTARY: Making the Case for PPE,CoAID,TRUE,6,6,5,16.66666667,0,33.33333333,0,0,0,0,0,50,0,0,16.66666667,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,16.66666667,0,0,0,0,0,0,0,0,0,33.33333334,66.66666667
3 charts show the alarming ways school closures have left America's most vulnerable children behind,ReCOVery,TRUE,15,15,5.666666667,13.33333333,26.66666667,6.666666667,0,0,0,0,0,46.66666667,0,0,0,6.666666667,13.33333333,0,20,6.666666667,0,0,6.666666667,0,0,6.666666667,0,6.666666667,0,6.666666667,6.666666667,0,0,6.666666667,0,0,0,6.666666667,0,0,0,0,0,26.66666667,80
Factbox: Insurers return part of auto premiums as coronavirus cuts driving,ReCOVery,TRUE,11,11,5.818181818,36.36363636,27.27272727,0,0,0,0,0,0,63.63636363,0,0,9.090909091,0,9.090909091,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18181818,0,0,0,0,0,0,0,0,0,18.18181818,81.81818181
Young People Far From Immune to Coronavirus' Bite,CoAID,TRUE,8,8,5.25,12.5,12.5,50,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,12.5,0,0,37.5,75
DVT Clots Strike Critically Ill COVID-19 Patients,CoAID,TRUE,7,7,6.142857143,0,14.28571429,85.71428571,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"There have been reports that scammers are pretending to be the government, contacting people by robocall, text message, email and other outreach.",FEMA,TRUE,22,22,5.727272727,22.72727273,13.63636364,0,0,0,0,0,0,36.36363637,4.545454545,0,9.090909091,4.545454545,9.090909091,0,27.27272727,9.090909091,0,0,9.090909091,0,0,0,0,0,4.545454545,0,4.545454545,4.545454545,0,9.090909091,0,0,0,0,0,0,4.545454545,0,0,27.27272727,72.72727273
What Life Is Like on the Front Lines of the COVID-19 Outbreak,CoAID,TRUE,12,11,4.166666667,0,0,41.66666667,0,0,0,8.333333333,0,50,0,0,0,0,0,8.333333333,8.333333333,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,25,0,0,0,0,0,0,0,0,0,41.66666667,58.33333334
New Study Found 80% of COVID-19 Patients Were Vitamin D Deficient,CoAID,TRUE,11,11,5,9.090909091,9.090909091,45.45454545,0,0,0,0,0,63.63636363,0,9.090909091,0,0,0,0,9.090909091,9.090909091,0,0,9.090909091,0,0,0,9.090909091,9.090909091,0,9.090909091,0,0,0,9.090909091,0,0,0,0,0,0,0,0,0,18.18181818,90.90909091
COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus,CoAID,TRUE,7,7,7,14.28571429,14.28571429,28.57142857,0,0,0,0,0,57.14285715,0,0,0,0,0,0,0,14.28571429,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,14.28571429,0,0,28.57142858,71.42857144
Toolkit for General Public,CoAID,TRUE,4,4,5.75,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,75
Black Children Hit Especially Hard by COVID-19,CoAID,TRUE,7,7,5.714285714,0,0,71.42857143,0,0,0,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,14.28571429,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,14.28571429,85.71428572
Gohmert to Take Hydroxychloroquine for Coronavirus,CoAID,TRUE,6,6,7.5,0,0,50,0,0,0,0,0,50,16.66666667,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,16.66666667,0,0,33.33333334,66.66666667
Childcare Programs,CoAID,TRUE,2,2,8.5,50,0,50,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
WHO: access to HIV medicines severely impacted by COVID-19 as AIDS response stalls,CoAID,TRUE,13,13,5.384615385,15.38461538,15.38461538,23.07692308,0,0,0,7.692307692,0,61.53846153,0,0,0,7.692307692,0,0,7.692307692,0,0,0,0,7.692307692,0,0,0,7.692307692,0,0,0,0,0,15.38461538,0,0,0,0,0,0,7.692307692,0,0,23.07692307,76.92307692
Major Drugmakers Join Forces on COVID-19 Vaccine,CoAID,TRUE,7,7,6,0,28.57142857,42.85714286,0,0,0,0,0,71.42857143,0,0,0,0,0,0,0,14.28571429,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,14.28571429,85.71428572
Doctors Look to Existing Drugs in Coronavirus Fight,CoAID,TRUE,8,8,5.5,0,12.5,50,0,0,0,0,0,62.5,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,25,75
COVID-19 Decimates Outpatient Visits,CoAID,TRUE,4,4,8.25,0,25,50,0,0,0,0,0,75,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Cruise Ship Crew Member Disembarkations,CoAID,TRUE,5,5,7,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
WHO: People living longer and healthier lives but COVID-19 threatens to throw progress off track,CoAID,TRUE,15,15,5.466666667,13.33333333,13.33333333,6.666666667,0,0,0,6.666666667,0,39.99999999,6.666666667,0,6.666666667,0,0,6.666666667,20,0,6.666666667,0,6.666666667,0,6.666666667,0,0,6.666666667,13.33333333,0,0,0,0,6.666666667,0,0,0,0,0,0,6.666666667,0,0,26.66666666,73.33333333
Coronavirus: New stories to read about the pandemic,ReCOVery,TRUE,8,8,5.5,25,12.5,12.5,0,0,0,0,0,50,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,12.5,0,0,37.5,62.5
"Exposures Before Issuance of Stay-at-Home Orders Among Persons with Laboratory-Confirmed COVID-19 - Colorado, March 2020",CoAID,TRUE,15,15,7.2,0,6.666666667,46.66666667,6.666666667,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,0,26.66666667,0,0,0,0,0,0,0,0,0,33.33333334,60
Pregnancy and mental health during the COVID-19 crisis,CoAID,TRUE,8,8,5.875,37.5,0,12.5,0,0,0,0,0,50,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,12.5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,37.5,62.5
"COVID-19 in Pregnancy, Worse C-Section Outcomes",CoAID,TRUE,6,6,7.333333333,16.66666667,0,66.66666667,0,0,0,0,0,83.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,16.66666667,83.33333334
"COVID-19 could reverse decades of progress toward eliminating preventable child deaths, agencies warn",CoAID,TRUE,13,13,7,15.38461538,23.07692308,0,0,0,0,0,0,38.46153846,7.692307692,0,7.692307692,0,7.692307692,0,23.07692308,15.38461538,0,0,15.38461538,0,0,0,0,0,0,0,0,0,0,15.38461538,0,7.692307692,0,0,0,0,0,0,0,23.07692307,76.92307692
SPHERES,CoAID,TRUE,1,1,7,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Experts Reject Oleander Extract as COVID Treatment,CoAID,TRUE,7,7,6.285714286,0,14.28571429,71.42857143,0,0,0,0,0,85.71428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,14.28571429,85.71428572
PUBG Mobile Launches Running Challenge for Players to Contribute to COVID-19 Aid,COVID Fake News Dataset,TRUE,12,11,5.75,0,0,58.33333333,8.333333333,0,0,0,0,66.66666666,8.333333333,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,16.66666667,0,0,25,75
How People in Addiction Recovery Are Dealing with the Isolation of COVID-19,CoAID,TRUE,12,12,5.333333333,0,8.333333333,41.66666667,0,0,0,0,0,50,0,0,8.333333333,0,0,0,8.333333333,0,0,0,0,0,0,0,8.333333333,8.333333333,0,0,8.333333333,0,0,25,0,0,0,0,0,0,0,0,0,33.33333333,66.66666667
